REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S3D3,RNWWONKENXX,1,2040,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2040,0.0011140000000000028
GLOBAL,S3D3,PWRGEOKENXX01,1,2041,3.77803852627985
GLOBAL,S3D3,PWRGEOTZAXX01,1,2041,6.795521104670985
GLOBAL,S3D3,PWRHYDKENXX01,1,2041,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2041,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2041,3.2192983345731734
GLOBAL,S3D3,PWRSPVTZAXX01,1,2041,4.658661276344055
GLOBAL,S3D3,PWRTRNKENXX,1,2041,7.901999999999999
GLOBAL,S3D3,PWRTRNTZAXX,1,2041,11.845199999999998
GLOBAL,S3D3,PWRWONKENXX01,1,2041,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2041,3.77803852627985
GLOBAL,S3D3,RNWGEOTZAXX,1,2041,6.795521104670985
GLOBAL,S3D3,RNWHYDKENXX,1,2041,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2041,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2041,3.2192983345731734
GLOBAL,S3D3,RNWSPVTZAXX,1,2041,4.658661276344055
GLOBAL,S3D3,RNWWONKENXX,1,2041,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2041,0.001114
GLOBAL,S3D3,PWRGEOKENXX01,1,2042,4.02835150824344
GLOBAL,S3D3,PWRGEOTZAXX01,1,2042,7.1817493280424225
GLOBAL,S3D3,PWRHYDKENXX01,1,2042,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2042,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2042,3.3913853526095843
GLOBAL,S3D3,PWRSPVTZAXX01,1,2042,4.9090330529726165
GLOBAL,S3D3,PWRTRNKENXX,1,2042,8.3244
GLOBAL,S3D3,PWRTRNTZAXX,1,2042,12.4818
